"filename", "language", "Python", "CSV", "Dotenv", "YAML", "Properties", "PowerShell", "Batch", "C++", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame_mixer.h", "C++", 0, 0, 0, 0, 0, 0, 0, 31, 21, 20, 72
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\sse2neon.h", "C++", 0, 0, 0, 0, 0, 0, 0, 3277, 2410, 517, 6204
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\mask.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\mixer.h", "C++", 0, 0, 0, 0, 0, 0, 0, 9, 1, 5, 15
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\palette.h", "C++", 0, 0, 0, 0, 0, 0, 0, 93, 25, 6, 124
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pgarrinter.h", "C++", 0, 0, 0, 0, 0, 0, 0, 20, 2, 5, 27
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pgbufferproxy.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pgcompat.h", "C++", 0, 0, 0, 0, 0, 0, 0, 16, 4, 8, 28
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pgopengl.h", "C++", 0, 0, 0, 0, 0, 0, 0, 13, 3, 5, 21
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pgplatform.h", "C++", 0, 0, 0, 0, 0, 0, 0, 17, 2, 5, 24
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pygame.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 24, 4, 33
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\scrap.h", "C++", 0, 0, 0, 0, 0, 0, 0, 33, 99, 16, 148
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\simd_blitters.h", "C++", 0, 0, 0, 0, 0, 0, 0, 68, 10, 7, 85
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\surface.h", "C++", 0, 0, 0, 0, 0, 0, 0, 290, 31, 41, 362
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Scripts\Activate.ps1", "PowerShell", 0, 0, 0, 0, 0, 108, 0, 0, 360, 35, 503
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Scripts\activate.bat", "Batch", 0, 0, 0, 0, 0, 0, 24, 0, 1, 10, 35
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Scripts\deactivate.bat", "Batch", 0, 0, 0, 0, 0, 0, 16, 0, 0, 7, 23
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\pyvenv.cfg", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
